"x","sgy2","sgy3","sgy4","sgy5","sgy6","sgy7","sgy8","sgy9","sgy10","sgy11","sgy12","sgdy2","sgdy3","sgdy4","sgdy5","sgdy6","sgdy7","sgdy8","sgdy9","sgdy10","sgdy11","sgdy12"
99374,99377.3428571428,99376.9047619047,99374.1125541125,99368.815850816,99363.7132867133,99360.6108597286,99359.4520123838,99361.5316231755,99363.2759071592,99363.7403726708,99362.8475362319,-97.7000000000135,-98.7500000000132,-99.350000000003,-98.3727272727161,-97.8626373626302,-97.4107142857203,-97.595588235294,-98.1842105263138,-98.8116883116908,-99.2371541501969,-99.3784615384622
99273,99271.6285714285,99271.1904761904,99266.58008658,99262.9696969698,99260.6643356643,99259.6588235296,99261.4458204333,99262.449800973,99262.8130107878,99261.5639751553,99258.889468599,-112.800000000011,-110.892857142858,-107.81666666667,-105.854545454539,-104.626373626366,-104.632142857147,-105.374999999999,-106.231578947368,-106.664935064938,-106.788537549407,-106.613846153847
99154,99152.4571428571,99148,99148.4025974025,99148.9860139861,99150.6993006993,99154.0416289595,99155.2879256965,99155.042901371,99152.8103955541,99149.8745341615,99142.5812560386,-123.500000000009,-119.000000000001,-115.200000000002,-112.927272727271,-112.26373626373,-112.796428571434,-113.644607843136,-114.124561403507,-114.312987012989,-114.031620553359,-112.87076923077
99018,99017.8285714286,99021.3333333333,99024.0346320346,99029.6410256411,99035.7342657343,99039.0371040726,99039.6253869968,99037.2963290578,99033.7090552468,99025.3490683229,98983.2369082125,-127.000000000015,-123.142857142857,-121.466666666669,-120.572727272731,-121.071428571422,-121.646428571433,-121.855392156861,-121.864912280699,-121.471428571431,-120.141304347826,-112.033076923077
98884,98888.9714285714,98893.8095238095,98900.3290043289,98906.8344988346,98911.8601398601,98913.5710407241,98912.4767801857,98909.5347191508,98901.0032690421,98856.2447204969,98746.6952657004,-125.700000000015,-126.42857142857,-127.399999999994,-129.490909090918,-130.285714285707,-130.33571428572,-129.916666666666,-129.119298245612,-127.361038961041,-117.807312252964,-95.0223076923081
98773,98769.5714285714,98770.9047619047,98775.3593073592,98778.0046620047,98777.7622377623,98777.0371040726,98774.7832817337,98767.221141088,98720.8110493625,98606.950310559,98619.5638647343,-124.800000000012,-130.92857142857,-135.833333333323,-138.136363636378,-139.005494505487,-138.453571428576,-137.311274509803,-134.870175438593,-123.267532467535,-96.5731225296444,-90.944615384616
98648,98649.7142857142,98647.7142857143,98643.0779220779,98638.6363636364,98634.8251748252,98630.5647058825,98623.0990712073,98574.7496682883,98457.5119320039,98480.403726708,98507.6670531401,-133.30000000001,-140.392857142856,-144.783333333325,-146.472727272746,-146.384615384608,-145.525000000006,-142.556372549018,-128.456140350874,-96.7272727272743,-90.868577075099,-87.371538461539
98512,98510.8857142857,98506.5238095238,98497.9523809524,98489.1351981351,98482.0769230769,98472.2054298644,98419.3869969039,98298.047766475,98334.0490356325,98372.3329192546,98529.3356521739,-154.200000000014,-153.535714285714,-153.649999999994,-153.581818181841,-152.6923076923,-149.450000000005,-132.583333333331,-94.6807017543837,-89.0233766233785,-85.9090909090918,-106.772307692308
98348,98344.1428571428,98339.8571428571,98335.8701298701,98329.0349650349,98316.7272727273,98259.2723981902,98132.4117647058,98183.6368863334,98234.3540372671,98408.9055900621,98516.8448309178,-172.600000000013,-167.178571428571,-162.349999999997,-159.509090909088,-155.351648351641,-134.278571428578,-88.563725490194,-84.1719298245583,-82.2051948051972,-108.101778656127,-126.365384615385
98152,98155.4285714285,98157.5238095238,98157.9134199134,98152.303030303,98093.7412587413,97963.2117647061,98035.9380804953,98100.253869969,98292.706440013,98405.7304347826,98468.2842512077,-183.100000000012,-175.642857142857,-169.700000000001,-161.563636363633,-133.153846153839,-76.4750000000047,-74.3848039215669,-74.7649122806985,-107.929870129873,-130.305335968376,-145.505384615385
97965,97965.2571428571,97969.4285714286,97968.3116883117,97912.8811188811,97788.6083916084,97894.753846154,97976.6006191949,98189.4736842105,98304.1307616868,98360.6782608695,98382.7706280193,-182.200000000012,-178.107142857143,-168.583333333339,-129.772727272726,-56.2472527472398,-58.1107142857202,-62.2916666666653,-105.377192982452,-133.383116883119,-151.834980237151,-163.779230769231
97788,97787.9142857143,97781.8571428571,97724.0779220779,97606.8111888112,97760.7482517483,97868.7502262445,98105.9814241485,98218.7651481645,98264.865969271,98273.8645962732,98260.9296618357,-173.600000000009,-167.214285714285,-116.10000000001,-22.0090909090893,-33.6428571428417,-43.6928571428618,-100.475490196077,-135.771929824558,-158.077922077925,-172.113636363633,-180.783846153846
97619,97613.4285714286,97552.8571428571,97445.7012987013,97658.972027972,97788.041958042,98047.9656108599,98154.7987616098,98184.7200353825,98174.8751225891,98144.7888198757,98101.4817391304,-152.900000000012,-77.2142857142842,44.5666666666541,8.12727272727471,-16.0879120878989,-94.2071428571487,-138.651960784313,-165.214035087715,-181.379220779224,-190.951581027665,-195.55
97457,97411.4857142857,97345.3333333333,97642.5281385281,97777.4592074592,98043.4475524476,98121.5665158373,98121.0588235293,98086.2317558602,98034.4720496894,97972.0571428571,97905.0345893719,5.29999999998854,172.464285714287,80.7499999999929,28.7272727272736,-84.472527472515,-143.357142857147,-175.499999999999,-193.184210526314,-202.954545454549,-207.25889328063,-207.736923076923
97366,97384.8571428571,97790,97894.6753246753,98136.993006993,98148.5874125875,98088.9502262445,98008.9690402476,97925.5095090667,97841.3501144165,97757.301863354,97670.6114009661,435.999999999985,195.142857142858,94.1333333333319,-72.6999999999994,-150.686813186802,-189.746428571433,-209.492647058823,-218.968421052628,-221.716883116886,-220.55632411067,-216.057692307692
97941,98320.9714285714,98224,98366.4805194804,98255.2377622377,98102.2167832168,97953.7746606337,97822.3993808049,97704.9124281291,97599.2046420399,97498.9577639752,97387.0542995169,358.899999999984,170.178571428572,-78.2500000000007,-172.454545454544,-213.417582417573,-232.296428571433,-240.007352941176,-240.557894736839,-236.854545454549,-229.519762845848,-217.192307692308
99557,98842.9142857142,98754.8571428571,98423.4415584415,98136.1468531468,97905.8811188812,97720.0805429865,97562.9721362228,97429.7912428129,97310.873488068,97187.1279503105,97057.4274396135,150.499999999985,-164.178571428572,-243.883333333335,-267.027272727271,-272.159340659333,-270.653571428576,-265.252450980392,-257.207017543855,-246.244155844159,-230.055335968378,-209.301538461539
98156,98839.3142857143,98459.0476190476,98084.4112554112,97793.1585081585,97569.055944056,97387.6027149323,97236.5263157894,97102.459973463,96967.0791108205,96830.0409937888,96742.9845410628,-658.200000000014,-476.785714285716,-396.966666666668,-353.527272727271,-325.296703296697,-303.242857142861,-284.676470588235,-266.92631578947,-245.218181818186,-219.589920948615,-200.480769230769
98011,97289.5428571428,97428.0952380952,97382.9913419913,97246.6596736597,97100.5664335665,96967.3619909504,96844.0804953559,96713.1844316674,96576.9928081072,96495.0844720497,96584.8313043478,-1162.70000000001,-747.500000000001,-532.9,-429.536363636361,-369.258241758236,-328.542857142862,-296.392156862745,-264.370175438592,-231.248051948056,-207.895256916995,-216.475384615385
95423,96018.7142857143,96064.3333333333,96382.6839826839,96517.5431235432,96519.7902097902,96468.1990950228,96379.5015479875,96271.9995577178,96214.1405688133,96330.752795031,96679.718647343,-953.300000000011,-871.035714285715,-642.416666666667,-490.090909090907,-402.032967032963,-343.096428571433,-293.164215686275,-247.012280701751,-216.346753246758,-225.687747035572,-285.055384615385
95110,94919.3714285714,95241.9047619047,95336.2683982684,95654.5920745921,95844.2097902098,95889.2416289595,95862.1114551083,95863.3737284387,96034.6302713305,96432.0621118012,96659.9503381642,-739.499999999946,-666.321428571429,-661.883333333333,-528.936363636362,-419.181318681316,-337.767857142862,-271.174019607843,-229.077192982453,-237.576623376627,-305.634387351778,-356.346153846154
94840,94839.5714285715,94620.8095238095,94784.1471861471,94841.8834498835,95093.2167832168,95259.8371040725,95389.6037151702,95658.2361786819,96132.7100359594,96390.7900621118,96465.4819323671,-254.699999999914,-489.321428571429,-488.950000000001,-503.472727272726,-406.362637362636,-308.010714285719,-248.321078431373,-254.956140350874,-333.201298701302,-388.805335968378,-420.002307692308
